,No_of_bathrooms,No_of_bedrooms,latitude,longitude,pet,laundry,parking,floor,Apartment_type,smoking,post_prices,sqfts,post_links,bedroom_counts,post_title_texts,post_hoods,post_timing
610, 2Ba,2BR ,39.953114,-75.181934,dogs are OK - wooof,w/d in unit,attached garage,nan,apartment,nan,,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-and-bathroom-in/7266654400.html,2,2 bedroom and 2 bathroom in the heart of Un, (42xx Chestnut St),2021-02-14 15:39
611, 1.5Ba,4BR ,40.130928,-75.517512,dogs are OK - wooof,laundry on site,street parking,flooring: wood,house,nan,1850,1800.0,https://philadelphia.craigslist.org/apa/d/phoenixville-bedroom-house-in-downtown/7277462810.html,4,4 bedroom house in downtown Phoenixville borough, (Phoenixville),2021-02-14 15:35
612, 1Ba,1BR ,39.94497,-75.160316,dogs are OK - wooof,laundry in bld,street parking,nan,apartment,no smoking,1200,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-apt1br-sunny-private-deck/7271545539.html,1,*Apt.1Br. Sunny Private Deck Great location across from Park, (11th&Pine st. Center city Phila.),2021-02-14 15:33
613, 1Ba,2BR ,39.989,-75.099,cats are OK - purrr,w/d in unit,attached garage,flooring: wood,house,no smoking,1000,1192.0,https://philadelphia.craigslist.org/apa/d/philadelphia-pp/7274665383.html,2,P&p, (Philadelphia),2021-02-14 15:29
614, 2Ba,3BR ,39.929855,-75.582336,cats are OK - purrr,w/d in unit,off-street parking,nan,apartment,no smoking,2314,1394.0,https://philadelphia.craigslist.org/apa/d/west-chester-wireless-high-speed/7275580872.html,3,"Wireless & High Speed Internet Access, Picnic Area, Extra Storage"," (1000 Skiles Boulevard, West Chester, PA, US)",2021-02-14 15:27
615, 2Ba,2BR ,39.939062,-75.166569,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,2855,1181.0,https://philadelphia.craigslist.org/apa/d/philadelphia-rooftop-fireplace-an/7277449112.html,2,"Rooftop Fireplace an cooking area,  TV and seating Lounge"," (1000 South Broad Street, Philadelphia, PA)",2021-02-14 15:25
616, 1Ba,2BR ,39.964487,-75.187655,cats are OK - purrr,laundry in bld,street parking,nan,apartment,no smoking,995,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-short-term-rental-bed-bath/7274104690.html,2,Short Term Rental - 2 Bed 1 Bath Walking Distance to Drexel University," (3103 Haverford Ave, Unit 1)",2021-02-14 15:22
617, 1.5Ba,3BR ,39.966583,-75.195039,cats are OK - purrr,w/d in unit,street parking,flooring: wood,apartment,no smoking,1200,1048.0,https://philadelphia.craigslist.org/apa/d/philadelphia-3bed-15-bath-house-for/7264569563.html,3,3bed 1.5 bath house for rent in the Mantua Area, (3610 Olive Street),2021-02-14 15:22
618, 2Ba,4BR ,39.986492,-75.157899,cats are OK - purrr,laundry in bld,street parking,nan,apartment,no smoking,1500,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-renovated-br-bath-apt-with/7262952752.html,4,Renovated 4-BR 2-Bath Apt. with Large Yard Right Behind White Hall, (Temple Univ 2148-50 N Carlisle Apt 1),2021-02-14 15:22
619, 1Ba,2BR ,39.9626,-75.220271,cats are OK - purrr,laundry in bld,street parking,flooring: wood,apartment,no smoking,850,870.0,https://philadelphia.craigslist.org/apa/d/philadelphia-50th-st-race-bd-bath-3rd/7265626074.html,2,50th St & Race- 2 BD 1 Bath 3rd Floor Apt- Walking Distance to Train," (141 N 50th Street, Apt 3)",2021-02-14 15:22
620, 2Ba,4BR ,39.964814,-75.190265,cats are OK - purrr,w/d in unit,street parking,flooring: wood,house,no smoking,2300,1808.0,https://philadelphia.craigslist.org/apa/d/philadelphia-house-with-lrg-bed-lrg/7264941084.html,4,House with 4 Lrg Bed 2 Lrg Bath walking distance to Drexel Hill!, (3224 Mt. Vernon Street),2021-02-14 15:22
621, 1Ba,2BR ,39.981552,-75.161401,cats are OK - purrr,laundry in bld,street parking,nan,apartment,no smoking,1095,900.0,https://philadelphia.craigslist.org/apa/d/philadelphia-short-term-rental-bed-bath/7274104955.html,2,Short Term Rental 2 Bed 1 Bath - 1 Block From the Athletic Field, (1861 N Willington Street Unit 1),2021-02-14 15:21
622, 2Ba,4BR ,39.943395,-75.181718,cats are OK - purrr,laundry in bld,street parking,flooring: wood,house,no smoking,3200,2000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-4bed-2bath-house-on-garden/7274646500.html,4,4Bed 2Bath- House on Garden Block walking distance to Penn University, (2329 St. Albans Pl),2021-02-14 15:21
623, 2Ba,5BR ,40.1238,-75.1148,cats are OK - purrr,w/d in unit,detached garage,nan,house,nan,595,nan,https://philadelphia.craigslist.org/apa/d/private-owned-currently-6-bedrm-units/7277555753.html,5,PRIVATE OWNED-CURRENTLY 2-6 BEDRM UNITS AVAIL IN NORTHUMBERLAND COUNTY, (PETS OK-GARAGES-LARGE YARDS),2021-02-14 19:41
624, 2Ba,2BR ,39.938205,-75.14657,dogs are OK - wooof,laundry in bld,street parking,nan,apartment,no smoking,1595,1600.0,https://philadelphia.craigslist.org/apa/d/philadelphia-queenvillage-luxury-2br/7277552399.html,2,*QueenVillage Luxury 2BR 2Bath Huge Roof Deck! G/H C/A D/W G/D NoPets*, (Queen Village - S. 2nd/Fitzwater St),2021-02-14 19:37
625, 1Ba,1BR ,40.104558,-75.416913,cats are OK - purrr,w/d in unit,np.nan,nan,apartment,nan,,nan,https://philadelphia.craigslist.org/apa/d/valley-forge-br-1bath-king-of-prussia/7273669856.html,1,$730 1 BR 1BATH KING OF PRUSSIA - IN UNIT W/D ~ OPEN FLOORPLAN, (19406),2021-02-14 19:36
626, 3Ba,4BR ,39.9811,-75.174,cats are OK - purrr,w/d in unit,street parking,flooring: wood,apartment,no smoking,2200,1400.0,https://philadelphia.craigslist.org/apa/d/philadelphia-4bd3banear-temple-uaug-2021/7277552717.html,4,****4BD*3BA**NEAR TEMPLE U****AUG. 2021****, (Philadelphia),2021-02-14 19:30
627, 1Ba,2BR ,39.9362,-75.1563,cats are OK - purrr,w/d in unit,street parking,flooring: wood,condo,nan,1750,1008.0,https://philadelphia.craigslist.org/apa/d/philadelphia-nice-spacious-bedroom-apt/7272929110.html,2,"Nice, spacious 2 bedroom apt in Great Location", (Washington Square West),2021-02-14 19:22
628, 2Ba,2BR ,39.9441,-75.5882,cats are OK - purrr,w/d in unit,off-street parking,flooring: wood,apartment,no smoking,2090,1120.0,https://philadelphia.craigslist.org/apa/d/west-chester-two-bedroom-two-full-bath/7269472193.html,2,"Two bedroom, Two full bath, upgraded kitchen, patio, MOVE IN READY!", (West Chester),2021-02-14 19:15
629, 1Ba,1BR ,39.9441,-75.5882,cats are OK - purrr,w/d in unit,off-street parking,nan,apartment,nan,1345,650.0,https://philadelphia.craigslist.org/apa/d/west-chester-one-bedroom-one-bath-a-den/7275573738.html,1,"One Bedroom, One Bath w/ a Den! MOVE IN READY! Pool, 2 Gyms & Dog Park"," (1323 West Chester Pike, West Chester, PA)",2021-02-14 19:15
630, 5Ba,5BR ,39.9474,-75.1473,dogs are OK - wooof,w/d in unit,attached garage,nan,townhouse,nan,8500,4500.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bed-52-baths-car-gar/7273488092.html,5,5 BED 5.2 BATHS 2 CAR GAR. SOCIETY HILL T. HOUSE $8500, (SOCIETY HILL),2021-02-14 19:11
631, 2Ba,2BR ,39.929855,-75.582336,cats are OK - purrr,w/d in unit,off-street parking,nan,apartment,no smoking,1910,1124.0,https://philadelphia.craigslist.org/apa/d/west-chester-resort-style-swimming-pool/7275696805.html,2,"Resort-Style Swimming Pool, Car Wash Area, Garages, Free Parking"," (1000 Skiles Boulevard, West Chester, PA, US)",2021-02-14 19:11
632, 2Ba,2BR ,40.0596,-75.0818,cats are OK - purrr,w/d in unit,attached garage,nan,duplex,nan,,900.0,https://philadelphia.craigslist.org/apa/d/philadelphia-northeast-fox-chase-duplex/7277534736.html,2,NORTHEAST FOX CHASE -DUPLEX FOR RENT BY OWNER !!!!!!!!, (NORTHEAST. FOX CHASE. RHAWNHURST ** 2 MONTHS FREE RENT),2021-02-14 19:01
633, 1.5Ba,2BR ,39.954096,-75.211916,dogs are OK - wooof,laundry in bld,street parking,flooring: wood,house,no smoking,1950,1400.0,https://philadelphia.craigslist.org/apa/d/philadelphia-luxury-victorian-home-in/7274650921.html,2,LUXURY VICTORIAN HOME IN UNIVERSITY CITY, (UNIVERSITY CITY),2021-02-14 18:44
634, 1Ba,1BR ,39.94497,-75.160316,dogs are OK - wooof,laundry in bld,street parking,nan,apartment,no smoking,1200,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-apt1br-sunny-private-deck/7274207044.html,1,Apt.1Br. Sunny Private Deck Great location across from Park, (11th&Pine st. Center City Phila.),2021-02-14 18:42
635, 1Ba,0BR ,39.95618,-75.194152,cats are OK - purrr,laundry on site,detached garage,nan,apartment,nan,1630,582.0,https://philadelphia.craigslist.org/apa/d/philadelphia-studio-apartment-early/7275154797.html,nan,Studio Apartment - Early Reservation thru Aug 2021, (University City),2021-02-14 18:40
636, 1Ba,1BR ,40.038971,-75.149988,cats are OK - purrr,laundry in bld,attached garage,nan,apartment,nan,895,706.0,https://philadelphia.craigslist.org/apa/d/philadelphia-military-discount-eat-in/7276684497.html,1,"Military Discount, Eat in Kitchen, Oversized Bedrooms"," (5600 Ogontz Avenue, Philadelphia, PA)",2021-02-14 18:36
637, 2.5Ba,3BR ,39.960976,-75.232857,cats are OK - purrr,laundry in bld,street parking,flooring: wood,townhouse,nan,1200,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-56th-street/7277533456.html,3,N. 56th Street, (West Philadelphia),2021-02-14 18:30
638, splitBa,0BR ,39.9188,-75.3991,dogs are OK - wooof,no laundry on site,no parking,nan,apartment,nan,0,nan,https://philadelphia.craigslist.org/apa/d/media-want-to-buy-your-house-in/7273260512.html,nan,I want to buy your house in Delaware County for Cash!, (Delaware County),2021-02-14 18:15
639, 2Ba,3BR ,39.929855,-75.582336,cats are OK - purrr,w/d in unit,off-street parking,nan,apartment,no smoking,2314,1394.0,https://philadelphia.craigslist.org/apa/d/west-chester-dog-run-full-size-washer/7275660920.html,3,"Dog Run, Full Size Washer& Dryer in All Units, 9' Ceilings, Playground"," (1000 Skiles Boulevard, West Chester, PA, US)",2021-02-14 18:09
640, 1Ba,3BR ,39.982491,-75.120648,cats are OK - purrr,laundry on site,street parking,flooring: wood,house,no smoking,1800,900.0,https://philadelphia.craigslist.org/apa/d/philadelphia-house-for-rent-fishtown/7277520966.html,3,House For Rent FISHTOWN!!, (FISHTOWN),2021-02-14 17:55
641, 1Ba,0BR ,39.9489,-75.1661,dogs are OK - wooof,w/d in unit,no parking,nan,apartment,nan,1253,280.0,https://philadelphia.craigslist.org/apa/d/philadelphia-hospitality-suite/7275630812.html,nan,"Hospitality Suite available at Touraine for guests, Outdoor Patio", (Rittenhouse),2021-02-14 17:55
642, 1Ba,1BR ,39.970941,-75.139247,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,1910,766.0,https://philadelphia.craigslist.org/apa/d/philadelphia-love-where-you-live-at/7277517294.html,1,Love where you live at Dwell 2nd Street! Brand new apts in great area!," (Fishtown, Northern Liberties, Olde Kensington)",2021-02-14 17:45
643, 1Ba,2BR ,39.9677,-75.1735,cats are OK - purrr,laundry in bld,street parking,nan,apartment,nan,1000,850.0,https://philadelphia.craigslist.org/apa/d/two-bedroom-apartment-for-rent/7275538121.html,2,TWO BEDROOM APARTMENT FOR RENT, (15th & POPLAR STREET),2021-02-14 17:43
644, 1Ba,2BR ,39.9487,-75.1593,cats are OK - purrr,w/d in unit,street parking,nan,apartment,nan,1600,800.0,https://philadelphia.craigslist.org/apa/d/philadelphia-luxury-two-bedroom/7272657990.html,2,LUXURY TWO BEDROOM APARTMENT IN CENTER CITY FOR  RENT!, (10th ST & Chestnut Street),2021-02-14 17:43
645, 1Ba,1BR ,40.072249,-75.193014,dogs are OK - wooof,nan,np.nan,nan,nan,nan,1362,830.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-vanity-and-huge/7277501304.html,1,Beautiful Vanity and Huge Closets!, (Philadelphia),2021-02-14 17:17
646, 1Ba,1BR ,40.0177,-75.2594,dogs are OK - wooof,laundry in bld,off-street parking,nan,apartment,no smoking,1025,nan,https://philadelphia.craigslist.org/apa/d/narberth-quaint-narberth-studio-high/7277503376.html,1,"Quaint Narberth studio, high floor w/balcony near river and bike paths", (Narberth),2021-02-14 17:09
647, 2Ba,3BR ,39.953553,-75.142493,cats are OK - purrr,w/d in unit,street parking,flooring: wood,townhouse,nan,2400,1800.0,https://philadelphia.craigslist.org/apa/d/philadelphia-lovely-corner-townhome/7272576859.html,3,Lovely Corner Townhome Available Now in Old City!!!, (Old City),2021-02-14 17:09
648, 1Ba,2BR ,39.922113,-75.163629,cats are OK - purrr,laundry in bld,street parking,flooring: wood,apartment,nan,1050,900.0,https://philadelphia.craigslist.org/apa/d/philadelphia-lovely-two-br-on-top-floor/7276557856.html,2,"Lovely Two BR on Top Floor w/ HW, Modern Kitchen available now!!!", (Pennsport),2021-02-14 17:09
649, 2Ba,2BR ,40.129191,-75.437804,cats are OK - purrr,laundry on site,off-street parking,nan,apartment,nan,1635,1000.0,https://philadelphia.craigslist.org/apa/d/miraculous-two-bedroom-2ba-in-methacton/7277502956.html,2,Miraculous Two Bedroom 2ba in Methacton School District," (Audubon, PA)",2021-02-14 17:08
650, 1.5Ba,2BR ,40.128584,-75.438263,cats are OK - purrr,laundry on site,off-street parking,nan,apartment,nan,1570,1000.0,https://philadelphia.craigslist.org/apa/d/two-bedrooms-you-will-love-your-home-at/7277502637.html,2,Two Bedrooms ! You Will Love Your Home At Mill Grove!!," (Audubon, PA)",2021-02-14 17:08
651, 1Ba,1BR ,40.129388,-75.437568,cats are OK - purrr,laundry on site,off-street parking,nan,apartment,nan,1515,900.0,https://philadelphia.craigslist.org/apa/d/large-bedroom-apartment-with-den/7277502400.html,1,Large 1 Bedroom Apartment with Den!!," (Audubon, PA)",2021-02-14 17:07
652, 1Ba,1BR ,40.129388,-75.437568,cats are OK - purrr,laundry on site,off-street parking,nan,apartment,nan,1440,850.0,https://philadelphia.craigslist.org/apa/d/large-bedroom-apartment-with-gas-cooking/7277502207.html,1,Large 1 Bedroom Apartment with Gas Cooking," (Audubon, PA)",2021-02-14 17:07
653, 1Ba,1BR ,39.9362,-75.1563,cats are OK - purrr,w/d in unit,no parking,flooring: wood,apartment,nan,1375,760.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-bed-bath-with/7267474858.html,1,"Large 1 bed 1 bath with backyard, unfinished basement for storage, w/d", (South philadelphia),2021-02-14 17:02
654, 2Ba,2BR ,39.960755,-75.15957,cats are OK - purrr,w/d in unit,off-street parking,flooring: wood,apartment,nan,1500,820.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bed-bath-hw-floors-d/7264498846.html,2,"2 bed 2 bath w/hw floors, w/d, dishwasher, central ac/heat", (Loft Dostrict),2021-02-14 17:02
655, 2.5Ba,2BR ,40.3765,-75.2648,dogs are OK - wooof,w/d in unit,off-street parking,nan,apartment,nan,2295,1660.0,https://philadelphia.craigslist.org/apa/d/blooming-glen-pet-friendly-two-bedroom/7271038543.html,2,Pet Friendly TWO bedroom in Perkasie!," (One Applewood Drive, Perkasie, PA)",2021-02-14 17:00
656, 1Ba,1BR ,39.97194,-75.162385,cats are OK - purrr,w/d in unit,street parking,flooring: wood,apartment,nan,1350,625.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-renovated-bedroom/7277498858.html,1,Large Renovated 1 Bedroom with Laundry, (Philadelphia),2021-02-14 16:59
657, 1Ba,2BR ,40.00917,-75.193198,cats are OK - purrr,laundry in bld,street parking,flooring: wood,apartment,no smoking,950,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-apt-with-modern/7276630488.html,2,"2 Bedroom Apt. with modern kitchen great light, off Kelly Drive", (Philadelphia),2021-02-14 16:58
658, 1.5Ba,2BR ,39.97085,-75.128427,dogs are OK - wooof,w/d in unit,attached garage,nan,apartment,nan,1700,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-prime-location-fishtown/7277497318.html,2,*Prime location Fishtown Apt 2BR w/Garage, (Fishtown),2021-02-14 16:55
659, 1Ba,1BR ,39.973141,-75.210621,dogs are OK - wooof,laundry in bld,street parking,nan,apartment,nan,1000,575.0,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-bedroom-for-rent/7275079400.html,1,Spacious 1 Bedroom FOR RENT!, (Parkside),2021-02-14 16:52
660, 1.5Ba,2BR ,39.940047,-75.15245,dogs are OK - wooof,w/d in unit,no parking,nan,townhouse,nan,1500,650.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-trinity-townhouse/7269552169.html,2,2 Bedroom Trinity Townhouse FOR RENT, (Queen Village),2021-02-14 16:52
661, 1Ba,2BR ,39.962336,-75.142686,dogs are OK - wooof,w/d in unit,street parking,nan,apartment,nan,1600,950.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-apartment-for-rent/7269552379.html,2,Large Apartment For Rent!, (Northern Liberties),2021-02-14 16:52
662, 1Ba,2BR ,39.977268,-75.125027,dogs are OK - wooof,w/d in unit,street parking,nan,house,nan,1750,1100.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-bedroom-house-for/7269552723.html,2,Large 2 bedroom House FOR RENT, (Fishtown),2021-02-14 16:52
663, 1Ba,1BR ,39.962418,-75.142794,dogs are OK - wooof,w/d in unit,street parking,nan,apartment,nan,1400,700.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-bi-level-bedroom/7269551948.html,1,Large Bi-Level 1 Bedroom, (Northern Liberties),2021-02-14 16:52
664, 1.5Ba,2BR ,39.962353,-75.142729,dogs are OK - wooof,w/d in unit,street parking,nan,apartment,nan,1750,995.0,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-bedroom-apartment/7269551674.html,2,Spacious 2 Bedroom Apartment FOR RENT!, (Northern Liberties),2021-02-14 16:52
665, 1Ba,1BR ,39.976547,-75.210857,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,1495,705.0,https://philadelphia.craigslist.org/apa/d/philadelphia-come-in-from-the-cold-1bd/7269583524.html,1,Come in From The Cold!  1Bd 1Ba at The Packard, (Philadelphia-Center City),2021-02-14 16:47
666, 1Ba,1BR ,39.959008,-75.161676,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,1495,705.0,https://philadelphia.craigslist.org/apa/d/keep-warm-in-this-awesome-1bd-1ba-bi/7269584609.html,1,Keep Warm in This Awesome 1Bd 1Ba Bi-Level Loft The Packard, (Philadelphia-Center City),2021-02-14 16:47
667, 2Ba,2BR ,39.976547,-75.210857,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,2095,1065.0,https://philadelphia.craigslist.org/apa/d/philadelphia-watch-the-snow-from-your/7269587561.html,2,Watch The Snow From Your 10 Foot Windows 2Bd 2Ba at The Packard, (Philadelphia-Center City),2021-02-14 16:47
668, 2Ba,2BR ,39.976547,-75.210857,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,2380,1420.0,https://philadelphia.craigslist.org/apa/d/philadelphia-perfect-to-call-home-2bd/7269589685.html,2,Perfect to Call Home! 2Bd 2.5Ba Bi Level w/Den The Packard, (Philadelphia-Center City),2021-02-14 16:47
669, 1.5Ba,1BR ,39.976547,-75.210857,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,1995,1175.0,https://philadelphia.craigslist.org/apa/d/philadelphia-be-the-envy-of-your/7269590751.html,1,Be The Envy of Your Friends!  1Bd 1.5Ba Bi Level Loft Den The Packard, (Philadelphia-Center City),2021-02-14 16:47
670, 1Ba,1BR ,39.958638,-75.162156,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,nan,1550,705.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-bedroom/7275998365.html,1,Beautiful 1 bedroom available now at The Packard Building!," (Center City, Drexel Med, PAFA)",2021-02-14 16:47
